Authors,Article Name,Publication,Year,Definition Page(s),Definition,,
"Malomo, Fola; Sena, Vania",Data Intelligence for Local Government? Assessing the Benefits and Barriers to Use of Big Data in the Public Sector,POLICY AND INTERNET,2017,"7, 11, 12","It is now a popular byword for large volumes of data that are produced routinely by organizations and are too complex for standard software packages to process (Mayer- Schoenberger & Cukier, 2013).

...

The term Big Data emerged in the private sector around a decade ago, although there are earlier references to the concept (Laney, 2001). In reality, there is no agreed definition of Big Data. The most common one (Gartner, 2015) uses a series of Vs to describe the dimensions of Big Data:


Volume considers the amount of data generated and collected.
Velocity refers to the speed at which data are analyzed.
Variety indicates the different types of data that are collected.
Viscosity measures resistance to flow of data.
Variability measures the change of rate of flow
Veracity measures biases, noise, and abnormality.
Volatility indicates how long data are valid for and should be stored for.

However, there are additional features of Big Data that are essential to their nature and make them of interest. For instance, Manyika et al. (2011) use a subjective definition that emphasizes the size of the data sets being beyond the ability of typical database software tools to capture, store, manage, and analyze them. Other definitions focus on the fact that they can be of different types, and on the insights they can provide (Forbes, 2014).

...
As the variety of data produced by the public sector has grown, a few authors have pointed out that complexity—driven by the volume of data and the large number of data sources—is the defining feature of Big Data within the public sector (IBM, 2015) for several reasons (Sisense, 2013).",,
"Margetts, Helen",The Data Science of Politics,POLITICAL STUDIES REVIEW,2017,202-203,"Kitchin’s own definition of big data (Kitchin, 2014a, 2014b) is
more useful, laying out the distinguishing features of such data which allow new methodologies:

Huge in volume, consisting of terabytes or petabytes of data;

High in velocity, being created in or near real-time;

Diverse in variety, being structured and unstructured in nature;

Exhaustive in scope, striving to capture entire populations or systems (n?=?all);

Fine-grained in resolution and uniquely indexical in identification;

Relational in nature, containing common fields that enable the conjoining of different data sets;

Flexible, holding the traits of extensionality (can add new fields easily) and scaleability (can expand in size rapidly).",,
"McNeely, Connie L.; Hahm, Jong-on","The Big (Data) Bang: Policy, Prospects, and Challenges",REVIEW OF POLICY RESEARCH,2014,305,"In a pragmatic sense, big data has been used to describe datasets whose size is beyond the analytical capacities of most database software tools (Manyika et al., 2011), and the idea that things can be learned from a large body of data that cannot be comprehended from smaller amounts links big data to notions of complexity (cf. Kash & Rycroft, 2003). ",,
"Mergel, Ines; Rethemeyer, R. Karl; Isett, Kimberley",Big Data in Public Affairs,PUBLIC ADMINISTRATION REVIEW,2016,931,"Big data in public affairs, then, is high volume data that frequently combines highly structured administrative data actively collected by public sector organizations with continuously and automatically collected structured and unstructured real-time data that are often passively created by public and private entities through their Internet interactions.",,
"Miller, Peter V.",Is There a Future for Surveys?,PUBLIC OPINION QUARTERLY,2017,205 (ABSTRACT),...including administrative records and unstructured (“big”) data...,,
"Monroe, Burt L.; Pan, Jennifer; Roberts, Margaret E.; Sen, Maya; Sinclair, Betsy","No! Formal Theory, Causal Inference, and Big Data Are Not Contradictory Trends in Political Science",PS-POLITICAL SCIENCE & POLITICS,2015,71,"For us, the concept is broad and simultaneously captures several ideas. For us, the intuitive criterion—“lots of data”—is both unnecessary and insufficient. When referring to data qua data, “big” is defined relative to the computational or informational capacities of conventional approaches. Data can be big in many dimensions: observations (e.g., the US Census), covariates (e.g., gene sequences), file size (e.g., images), or network bandwidth (e.g., video) (Monroe 2013). Even “small” social data may contain interdependencies (e.g., networks, space-time, or hierarchy) that imply big models. The term also may describe the body of computational innovation that has become associated with such data, roughly equivalent to “data science” but need not imply the application of “data mining.” Among these innovations, we might list data collection (e.g., GPS tracking), data manipulation (e.g., web scraping), management (e.g., Hadoop), information extraction (e.g., natural language processing), or efficient computation (e.g., MapReduce), as well as the body of inferential techniques referred to variously as “statistical learning” or “machine learning.”",,
"Morris, Darcy Steeg",A Modeling Approach for Administrative Record Enumeration in the Decennial Census,PUBLIC OPINION QUARTERLY,2017,358,"The American Association for Public Opinion Research (AAPOR) considers administrative records to be big data because they are typically large in volume, “usually not designed by researchers,” and “generated for a different purpose and arise organically through administrative processes” (Japec et al. 2015).",,
"Patty, John W.; Penn, Elizabeth Maggie",Analyzing Big Data: Social Choice and Measurement,PS-POLITICAL SCIENCE & POLITICS,2015,95,"we begin by noting that empirical analysis of many interesting social science topics—and in particular those popularly associated with “big data” such as networks, text analysis, and genetics—always require data reduction. Data reduction is achieved through aggregating higher-dimensional data into lower-dimensional measures. In other words, we conceive of the “bigness” of data as a function of the data’s underlying conceptual structure. Much more than being a function of the number of observations or the number of variables, data is “big” if the concepts underlying the data—the data’s raison(s) d’être —are more complicated than a list of vectors of numbers. Social networks, texts, genomes, and brain scans all satisfy this requirement.",,
"Phillips, Fred",A perspective on 'Big Data',SCIENCE AND PUBLIC POLICY,2017,"730, 731","Today’s big data are popularly characterized by the first three Vs. Volumes and volumes of data. Instantaneous information on markets, metabolisms, and memes, and delivered to your PC or handheld in milliseconds, from naturally refrigerated server farms in Finland and under the Swiss Alps.

...

Bell (2014) rightly adds a fourth ‘v’ to the mix: validity. It is essential,
and difficult, to know whether the number in hand measures what it is supposed to measure.",,
"Pires, Sara Moreno; Magee, Liam; Holden, Meg",Learning from community indicators movements: Towards a citizen-powered urban data revolution,ENVIRONMENT AND PLANNING C-POLITICS AND SPACE,2017,1305,"The term “Big Data” is a simple sounding term that describes the massive accumulation of often apparently trivial information – public transport trips, social media tweets, local government payments and other mundane transactions that mark urban daily life. In aggregate, this data accumulation illustrates emergent patterns and trends, the digital “pulse” of the city. The volume, variety, veracity, and most of all, the velocity of this data revolution are taken to be both the effect and, increasingly, the cause of a city’s progress (IBM, 2015). This association of Big Data with rhetorics of success is supported by the acceleration of advanced levels of computing expertise that are required to manage, crunch and display these data flows. Technical experts exude varying levels of confidence that this pulse, if we develop the analytical tools to listen to it, can reveal secrets about cities, allowing greater predictability and ultimately controlling them from afar (Goldsmith and Crawford 2014; Kitchin, 2014; Sawyer, 2008).",,
"Poel, Martijn; Meyer, Eric T.; Schroeder, Ralph","Big Data for Policymaking: Great Expectations, but with Limited Progress?",POLICY AND INTERNET,2018,349,"The literature review, and the study as a whole, uses the following definition of Big Data: “Big Data is a step change in the scale and scope of the sources of materials (and tools for manipulating these sources) available in relation to a given object of interest” (Schroeder, 2014). This definition relates to a particular conception of “data,” whereby data belong to the objects investigated and they provide an “atomic” unit of analysis. This is a realist definition of data which highlights the scientific nature of data as evidence, with implications for debates about whether policy uses Big Data as evidence, or if not, for legitimating policies (which falls under the heading “policy?driven data” rather than the other way around, i.e., cherry?picking data to support a predetermined policy position, as suggested by our opening quote from Dickens, and which we discuss below), in which case its uses are not evidence based or scientific. In any event, this definition is more precise in the context of policymaking than the three or four “V's” which are often used in business and certain scientific contexts (Laney, 2001; Ward & Barker, 2013.), since not all efforts labeled as Big Data in the policy sphere entail high volume, velocity, variety and veracity, and also insofar as it focuses on the uses and applications of Big Data and focuses on the objects of interest to the researcher. Along the same lines, not all data sets are exhaustive in the sense of n?=?all.3",,
"Quintanilla, Gabriela; Gil-Garcia, Jose Ramon","Open Government and Linked Data: Concepts, Experiences and Lessons Based on the Mexican Case",REVISTA DEL CLAD REFORMA Y DEMOCRACIA,2016,75-76,"El término grandes datos se refiere a un gran conjunto complejo y cambiante de datos que crea nuevas formas de valor al cambiar los mercados, las organizaciones y las relaciones entre ciudadanos y Gobierno. Aprovechar los grandes datos implica la capacidad de analizar enormes cantidades de datos acerca de un tema (Mayer-Schönberger y Cukier, 2013).",,
"Rogge, Nicky; Agasisti, Tommaso; De Witte, Kristof",Big data and the measurement of public organizations' performance and efficiency: The state-of-the-art,PUBLIC POLICY AND ADMINISTRATION,2017,266-267,"In general, big data refers to huge volumes of (digital) data that are collected from large variety of sources that are too large, raw, or unstructured for analysis through conventional database techniques (Kim et al., 2014: 78). A common framework that is used to describe big data is the ‘3-V’ framework with the three dimensions ‘Volume’, ‘Variety’, and ‘Velocity’ (Brynjolfsson and McAfee, 2012; Chen et al., 2012; Gandomi and Haider, 2015; Kwon et al., 2014). In this framework, ‘Volume’ corresponds to the size of big data (typically multiple terabytes or petabytes). ‘Variety’, refers to the composition of the data set and, more in particular, to the structural heterogeneity in data (i.e. are the data structured, semi-structured, or unstructured). Practice shows that only a minority of the big data are structured. The ‘Velocity’ dimension refers to the dynamic nature of big data – the speed of collecting, storing and analyzing big data. Regarding this dimension, there is an increasing trend toward generating, collecting, storing, and analyzing data at high frequency (in some sectors and applications even real-time or near to real-time). While the volume or size dimension is most discussed in the context of big data, Gandomi and Haider (2015) stress that the other dimensions are equally important. In fact, they emphasize that one should avoid focusing exclusively on one particular dimension as there may be interactions between the dimensions. For instance, the interpretation of the ‘Volume’ dimension (i.e. when can a dataset be considered big data) may very well depend on whether the data are structured or not. Unstructured data usually require more storage and analysis capacities and better technologies than structured data. Therefore the threshold size for unstructured data will be smaller than for structured data. 

Next to the three dimensions of the basic 3-V framework, also other dimensions are sometimes used to characterize big data. Gandomi and Haider (2015) and Gani et al. (2015) describe four of these dimensions: ‘Veracity’ (unreliability and impreciseness of some data sources), ‘Variability’ (similar or dissimilar data flow rates), ‘Complexity’ (few or numerous data sources), and ‘Value’ (relative value density).",,
"Rumson, Alexander G.; Hallett, Stephen H.; Brewer, Timothy R.",Coastal risk adaptation: the potential role of accessible geospatial Big Data,MARINE POLICY,2017,"ABSTRACT, 102","‘Big Data’ involves powerful computer infrastructures, enabling storage, processing and real-time analysis of large volumes and varieties of data, in a fast and reliable manner. 

...

The terminology of Big Data, relates not only to the handling of large volumes of data, but refers also to broader data issues such as the ability to manage concurrently a wide variety of data formats, with the incorporation of high currency and even real-time (high velocity) data [43], [44]; allied to which are a new generation of analytical and data processing capabilities. Central to the concepts surrounding Big Data are the multi-node computer infrastructures employed, enabling the collective storage of large volumes of data in a distributed and scalable manner [45]. Big Data approaches can enable the large, diverse databanks associated with comprehensive environmental risk mapping exercises, to be incorporated successfully within a single modelling framework.",,
"Schintler, Laurie A.; Kulkarni, Rajendra","Big Data for Policy Analysis: The Good, The Bad, and The Ugly",REVIEW OF POLICY RESEARCH,2014,343,"Big data is ripe for policy analysis. While large, high-dimensional data sets have long been fundamental to research in the physical and life sciences, in fields like meteorology, biology, physics, chemistry, and astronomy, the use of big data beyond these disciplinary bounds has been much more limited. However, Web 2.0 services and technologies,1 as well as other recent cyber and technological developments, are producing an enormous and unprecedented amount of data that are rich in detail concerning human and societal behavior and related contextual factors and dynamics, including the attitudes, preferences, and sentiment of different individuals and groups (see, e.g., Bollen, Pepe, & Mao, 2009; Gondecha & Lieu, 2012). These data are not only voluminous, but also highly complex encompassing a variety of content formats (e.g., structured versus unstructured) and levels of spatial and temporal resolution. As a resource for helping to inform different points in the policy analysis process, from problem conceptualization to ongoing evaluation of existing policies, and even empowering and engaging citizens and stakeholders in the process, big data holds tremendous promise.",,
"Severo, Marta; Feredj, Amel; Romele, Alberto",Soft Data and Public Policy: Can Social Media Offer Alternatives to Official Statistics in Urban Policymaking?,POLICY AND INTERNET,2016,357,"Big Data is the most popular one, generally referring to data sets that are huge in volume, high in velocity, diverse in variety, and, although the introduction of this last aspect by M3 IBM3 is rather disputable, problematic in terms of veracity (4V definition). According to Kitchin (2014b), the emerging literature presents Big Data as: (i) exhaustive in scope; (ii) fine-grained in resolution; (iii) relational in NATURE; (iv) flexible and scalable. Hence, he argued in another article (Kitchin, 2014a, p. 2) that the term “Big” is somewhat misleading, since Big Data are characterized by much more than a huge volume. National census data sets, for instance, are very large in size, are exhaustive, and have a fine resolution, but they lack velocity, variety, and flexibility",,
"Stough, Roger; McBride, Dennis",Big Data and US Public Policy,REVIEW OF POLICY RESEARCH,2014,339,"A working definition adopted for this paper and one that has informally evolved in practical as well as scholarly circles is: Big Data may be viewed as databases that are too large to be adequately handled by current spread sheet technologies. As such Big Data sets are viewed by some to have limited use for public policy as well as other analytical purposes because of their irregular and heterogeneity properties (Schintler, 2013). As a consequence they tend to be inherently biased and lead to a conclusion that contemporary statistical analysis routines are inadequate to examine them. Furthermore, they cannot be adequately visualized, and it is often difficult to understand what the analyst is working with. In short, there is a signal to noise problem: Big Data sets are inherently noisy and thus their signal quality is poor.",,
"Swanson, Maureen H.; Vogel, Kathleen M.","Big Data, intelligence, and analyst privacy: investigating information dissemination at an NSA-funded research lab",INTELLIGENCE AND NATIONAL SECURITY,2018,"357-358, 369 n. 1.","LAS has an interdisciplinary research focus on the science of Big Data, a term that refers to ‘the collection of large and complex data sets and the analysis of these data sets for relationships’ [1]. Big Data can be analyzed computationally, either individually or integrated with other data-sets, to reveal hidden or previously unknown patterns, trends, and associations. Big Data can be collected through either actively (e.g., posts on social media or other types of user-initiated responses) or passively (e.g., FitBit data). Typically, there are four characteristics associated with Big Data, often described as the four Vs: Volume, Variety, Velocity, and Veracity. Volume refers to the ability of Big Data to consist of large, and increasingly larger, volumes of data (terabytes, petabytes, or zettabytes). Variety refers to the ability to make sense of different sources and types of data, including structured (e.g., numbers, dates, and groups of words and numbers) and unstructured (e.g., text, video, audio, tweets) forms that can come from a wide variety of classified and unclassified sources, to include public and privately held sources (sensors, computers and other electronic devices, social networks, the Web, mobile phones). This data can consist of information that is solely digital in origin, as well as data that have been subsequently digitized. Velocity refers to the increasing frequency of incoming data that needs to be analyzed, and the speed at which it can be analyzed (millisecond, second, minute, hour, day, week, month). Veracity signifies the trustworthiness of the data. LAS Big Data research in particular aims to advance and improve intelligence analysis capabilities on US national security threats.
...

[1] EPIC (Electronic Privacy Information Center), “Big Data”. The MacKensey Global Institute expands this definition to note that:

“Big Data” refers to datasets whose size is beyond the ability of typical database software tools to capture, store, manage, and analyze. This definition is intentionally subjective and incorporates a moving definition of how big a data-set needs to be in order to be considered Big Data – i.e., we don’t define Big Data in terms of being larger than a certain number of terabytes (thousands of gigabytes). We assume that, as technology advances over time, the size of datasets that qualify as Big Data will also increase. Also note that the definition can vary by sector, depending on what kinds of software tools are commonly available and what sizes of datasets are common in a particular industry. With those caveats, Big Data in many sectors today will range from a few dozen terabytes to multiple petabytes (thousands of terabytes).",,
"Titiunik, Rocio",Can Big Data Solve the Fundamental Problem of Causal Inference?,PS-POLITICAL SCIENCE & POLITICS,2015,75,"The term “big data” may be ascribed various meanings. In their contribution to this symposium, Patty and Penn understand big data as a highly multidimensional and complex body of information that is not inherently ordered and that necessarily must go through a process of data reduction before it can be analyzed. In contrast, in the de?nitions of big data that I consider, “big data” refers to a rectangular array of information with n rows and p columns. Thus, my notion of big data as a rectangle presupposes that the reduction discussed by Patty and Penn already has occurred and that appropriate decisions have been made to transform complex, non-ordered data into variables that take particular values for each observation—decisions that, as Patty and Penn point out in this issue, can be crucially consequential.

Another view of big data, and one that Ashworth, Berry, and Bueno de Mesquita adopt in their contribution to this symposium, refers to the statistical and computational tools of machine learning that typically are used to “mine” or extract structured patterns of information from large datasets.2 Although this is a valuable de?nition for many purposes, I do not engage it directly because my argument centers on whether the access to vast amounts of new information per se will solve the most fundamental obstacles to causal inference, and I consider this question to be largely independent of the available techniques to detect and characterize empirical regularities in big datasets.3

Instead, my focus is on two other interpretations of big data: big data “as large n” and big data “as large p.” The former refers to data sources with several observations—that is, records collected for hundreds of thousands or millions of units of analysis. In this interpretation, big data represents a situation in which the number of observations, n, is extremely large relative to the number of variables available in the dataset. In contrast, the latter interpretation refers to the availability of a large amount of information per observation—that is, data sources in which the number of variables, p, is very large relative to n.",,
"Van Puyvelde, Damien; Coulthart, Stephen; Hossain, M. Shahriar",Beyond the buzzword: big data and national security decision-making,INTERNATIONAL AFFAIRS,2017,"1399,  1400-1403","To take stock of the diverse perspectives on the subject, we rely on the efforts of De Mauro and her colleagues to define big data through a survey of 1,581 conference papers and journal articles on the topic. The resulting definition considers big data to be ‘the information assets characterized by such a high volume, velocity and variety to require specific technology and analytical methods for its transformation into value’.

...

The characteristics of big data: volume, velocity, variety and veracity

--------------------------------------------------
The expression ‘big data’ is often understood as a set of very large datasets. But what exactly qualifies as a very large dataset? Volume is understood and processed differently in multiple fields and at different points in time. For a social scientist, a dataset including hundreds of thousands of entries may seem large, but would not appear so to a computer scientist. Similarly, while computer scientists might have considered a database of hundreds of thousands of entries to be very large in the early days of computing, today's researchers work with billions of entries. A 2010 study found that the amount of data produced globally was 1.2 zettabytes, or 1,200,000,000,000 trillion gigabytes. It is expected that by the year 2020 worldwide data production will reach 35 zettabytes.16 The desire and ability to process such large volumes of data constitute a significant component of the definition of big data, but volume alone is not sufficient to define big data.

Early definitions of big data describe how large amounts of data put heavy demands on computing power and resources, thus causing a ‘big data problem’.17 As the world keeps producing more and more data, this problem is still with us. Processing capabilities for all these data now lag behind storage capabilities. In other words, we have access to massive amounts of data but are not able to use them all.18 Volume, therefore, should be considered not in isolation, but in relation to the ability to store and process data. The definition of big data must comprehend not only numbers or volume, but the capacity to use these data. Following this approach, a common definition of big data describes ‘datasets whose size is beyond the analytical capacities of most database software tools’.19 One national security professional explains that ‘big data’ starts when Excel is not enough any more.20

The capacity to use data is challenged not only by increasingly large volumes of data, but also by data velocity. The speed at which new data are generated and change is increasing, which poses further storing and processing challenges. Twitter users, for instance, generate on average 6,000 tweets per second.21 To cope with the velocity of data generation, researchers and intelligence practitioners have sought to combine and simultaneously process multiple data streams. In one such project, the NSA combined data from ‘phone conversations, military events, road-traffic patterns, public opinion—even the price of potatoes’.22 In this case, automated data analysis partially replaced humans, who could not process all these data in a timely fashion. According to a former official with knowledge of the program, analysts found that introducing more data into the program also led to more accurate predictions of where insurgent attacks would occur.

The ‘big data problem’ is further complicated by the growing variety of data. In computer sciences, data are generally considered as alphanumeric characters and symbols that are stored, processed and transmitted. In recent decades, the variety of data available to researchers has exploded, and technology has provided the means to tap into new data sources. The proliferation of smartphones and wearable technology connected to the internet and equipped with audio and video sensors as well as GPS locators is only one example of how technological advances produce more and more diverse data. Humans and their environment have always produced data, for example biological and meteorological data, but a growing number of sensors now collect and store these data in ever greater quantity and higher quality. In addition, the advent of cyberspace has led to new types of data, generated by networks and the humans who use them. Surfing on the World Wide Web generates digital trails of data that can be accessed by social media sites such as Twitter and search engines such as Google. The computer networks that constitute the digital layer of cyberspace also generate data, for example in the form of web server logs.23 Each of these data types, some older than others, poses specific challenges related to their volume and velocity, thus contributing to the increasing variety of data available for analysis.

Researchers usually classify data in three categories: structured, semi-structured and unstructured. Structured data, as described by one writer, have been reformatted and ‘organized into a data structure so that elements can be addressed, organized and accessed in various combinations to make better use of the information’.24 In other words, structured data have been processed so that they are easily stored for retrieval and analysis. Examples of structured data include texts and numeric information that are stored in traditional relational databases, meaning the data can fit in rows and columns. Quantitative social scientists often use structured data in the form of Excel spreadsheets. Structured data are the least common type of data but the most commonly analysed.

Semi-structured data are the next most common type; these are harder to store and analyse than structured data. This type of data is structured in so far as each data-object is represented by a certain number of attributes. For example, a Microsoft Word document with headed sections conveys semi-structured data. While this document lacks the rigid organization of structured data, it contains a number of attributes, including chapters or section headings, tags informing users about the date of creation, and revisions of the document, which can help users organize and analyse it.25

Unstructured data are the fastest-growing category and the most widespread. They come in a variety of formats including audio, video, analogue data, books, images, web pages and more. The proliferation of social media platforms and personal devices has increased the amount of publicly available unstructured data. This type of data poses a significant challenge to data scientists both inside and outside modern intelligence agencies. The former chief technology officer for the Central Intelligence Agency (CIA) sums up the problem for the US intelligence community:

Our data is always fragmented, and we're trying to make sense of fragmented data options, which is extremely difficult … how we analyze every piece of data, how we reprocess it to continue to make better sense of what is going on—that is the biggest [challenge] we have, especially when we can't get complete databases.26

Large organizations, such as Google and multiple government intelligence agencies, increasingly rely on novel types of databases that can store a wide variety of data types from structured to unstructured, and organize them for subsequent analysis.

Veracity is another focal point in the discussion on big data and national security. This characteristic refers to ‘the biases, noise and abnormality in data’.27 In the national security context, more than in any other field, data and information should be approached sceptically because adversaries often actively alter data with the intention to deceive and mislead. National security professionals must question the representativeness and validity of data collected on social media, for instance.28 Questioning the veracity of data encourages the consumers of big data to consider whether the data that are being stored and mined are reliable and meaningful enough to help them answer the problems at hand.29 A classic example of how data veracity can affect national security decisions comes from Robert McNamara's tenure at the Pentagon during the Vietnam War. McNamara oversaw a large-scale effort to collect data on the US war effort in Vietnam. While the term ‘big data’ was not in use at the time, his team of ‘Whiz Kids’ applied statistical techniques honed in business in an attempt to understand the war and assess the effectiveness of US decisions. Ultimately, however, McNamara put undue confidence in key metrics that he used to assess the success of US efforts in Vietnam, in particular body-count data on the enemy. According to one general, these data were susceptible to being distorted by commanders who wanted to demonstrate their effectiveness.30 McNamara himself notes in his memoirs that data used by the US military were ‘inflated by the considerable falsification of data submitted by South Vietnamese officials’.31 A more recent example of intentional data manipulation is provided by Gary King and his colleagues, who estimate that the Chinese government fabricates 448 million social media posts a year.32 Given the volume and diversity of big data, this is an inherently noisy environment, which reinforces the difficulty in identifying signals—in this case, genuine posts.33 The risk, if the veracity of big datasets cannot be established, is that they will mislead analysts, and possibly decision-makers.",,
"Washington, Anne L.",Government Information Policy in the Era of Big Data,REVIEW OF POLICY RESEARCH,2014,319,"Big data describes diverse unstructured digital collections interwoven to discover patterns. Big data may also refer to earlier knowledge-discovery tools such as data mining, machine learning, and predictive analytics.",,
"White, Patricia; Breckenridge, R. Saylor","Trade-Offs, Limitations, and Promises of Big Data in Social Science Research",REVIEW OF POLICY RESEARCH,2014,333,"In the current world of social science, the qualities of data that make it “big” are more distinct than just a large sample size or population level data. In addition to size, “big data” also has the qualities of being one or more of the following: relational, aggregated, multilevel, and merged (RAMM). Relational data have embedded linkages between individuals and groups; aggregated data include data and variables that are combined from multiple sources and measures; multilevel data combine measures at both individual and group levels; and merged data are combined from different original sources.",,
"Yeung, Karen",Algorithmic regulation: A critical interrogation,REGULATION & GOVERNANCE,2018,505,"Although ""Big Data"" has been variously defined, I use the term to refer to the sociotechnical ensemble that utilizes a methodological technique that combines a technology (constituted by a configuration of information-processing hardware and software that can sift and sort vast quantities of data in very short times) with a process (through which algorithmic processes are applied to mine a large volume of digital data to find patterns and correlations within that data, distilling the patterns into predictive analytics, and applying the analytics to new data) (Cohen 2012, p. 1919). The excitement surrounding Big Data is rooted in its capacity to identify patterns and correlations that cannot be detected by human cognition, converting massive volumes of data ( often in unstructured form) into a particular, highly data-intensive form of knowledge, and thus creating a new mode of knowledge production (Cohen 2012, p. 1919).",,
"Youtie, Jan; Porter, Alan L.; Huang, Ying",Early social science research about Big Data,SCIENCE AND PUBLIC POLICY,2017,65-66,"Big Data is defined on the basis of size, growth, diversity, and analytic capacities.

...

Although the legacy of information technology developments is long, the term ‘Big Data’ has a more recent history that some trace to a special issue of Nature published in September 2008, on the topic, while others allude to earlier or later references. Indeed the term itself has become a ‘meme’ for developments in the 21st century that facilitate the procurement, storage, processing, and analysis of large-scale information compilations. Boyd and Crawford (2012) call out the ‘mythology’ of the term, associating it with an overly optimistic and opportunistic rhetoric. The White House (2014) has drawn on the Gartner Inc. definition of Big Data in terms of the three ‘Vs’ (although more V’s have been added in other definitions):

volume of data collected and processed at a decreasing cost

variety of data, including digital data and data originating in analog forms that can be digitized (see President’s Council of Advisors on Science and Technology 2014)

velocity of data that can be obtained nearly in real-time

The ability to process more information, more quickly, and with greater ease of analysis opens up opportunities in areas such as: medical, business, scientific research, environmental, defense, and climate change applications (Bryant et al. 2008).
Yet it is not solely a matter of scale and opportunity that defines Big Data. It also matters how these methods are used, the extent to which they are divorced from context, applications that could violate privacy and security expectations, and inequities and unethical consequences that these capabilities could create. In sum, important societal considerations accompany Big Data development and applications. Such considerations are not solely the purview of Big Data. Observers underscore the importance of societal considerations in emerging technologies ranging from human genomics to nanotechnology to geoengineering.",,
"Zeng, Jinghan",China's date with big data: will it strengthen or threaten authoritarian rule?,INTERNATIONAL AFFAIRS,2016,1444-1445,"While big data may also include traditional (non-digital) sources of data, this article will primarily focus on digital ones. Thus, big data broadly refers here to an ‘explosion in the quantity and diversity of high frequency digital data’.",,
"Zwitter, Andrej",Big Data and International Relations,ETHICS & INTERNATIONAL AFFAIRS,2015,378-380,"What Is Big Data?
Big Data refers to the enormous amounts of data that, using sophisticated analytics techniques, can be mined for information in order to reveal patterns and spot trends and correlations. A key idea behind the concept is that the sheer volume of data allows users to discover information—specifically, correlations and patterns—that would not be available by looking at smaller samples. It also relates to the enhanced ability to extract information from, and interpret, massive amounts of unstructured data. Another key idea is that Big Data is updated in near real-time. The most important features relevant to understanding Big Data are known as “the three Vs,” which are: 3

Volume: Data today exists in massive amounts, which can be measured in petabytes [1015 bytes], exabytes [1018 bytes], and zetabytes [1021 bytes]. Soon, it will even be measured in yottabytes [1024], one of which equals 250 trillion digital video disks. According to Rick Smolan and Jennifer Erwitt, from the beginning of history until 2011, five billion gigabytes were produced; in 2015 this amount is produced every ten seconds. 4

Velocity: The speed of data creation and its collection now approaches real-time. This concerns not only questions of bandwidth (megabyte and gigabyte upload and download capabilities) but also of implementing information-technology architecture solutions that can cope with data in near real-time.

Variety: Data exists in structured and unstructured forms and in different formats and units of analysis, including documents, emails, social media messages, YouTube videos, pictures, audio, radio-frequency identification chips, 5 satellite imagery, sky cartography, DNA sequencing, phone-network call data, and cell phone GPS signals. Furthermore, it can be categorized depending on its source: for example, there is self-generated data, data collected (mostly in automatized ways) from the web (known as data scraping), and data retrieved from other outside sources.

Some authors add a number of other features that are potentially, but not necessarily, present in Big Data:

Veracity: This fourth V encompasses all sorts of methodological questions about the reliability and validity of data and its sources. For example, possible biases can be generated by the form of collection (do sentiment analyses generated from a certain region based on Twitter feeds actually express the sentiments of that region, or only those of Twitter users from that region?), and the form of data preparation (for example, by removing duplicates, completing partial entries, aggregating results, and so on).

Value: Oracle, for example, considers Big Data to be of low value density; that is, the data received and collected requires much processing before value can be extracted from it. 6

Correlations: Algorithms that analyze Big Data emphasize correlations over causation for the use of predictions and for social engineering, that is, the manipulation of individuals and groups based on social mechanisms. 7

Exhaustiveness: Related to Volume, Big Data becomes potentially all-encompassing of a research population, unlike with statistics, which commonly works with samples that only represent and approximate the whole—that is, the sample size is moving toward a state of N = all. 8

Detailed/Organic Data: Unlike Exhaustiveness, which is about sample size, organic data refers to the degree of granularity of the data within the sample; increasingly, organic data allows for a more accurate digital representation of physical reality in such fine detail that it approaches an organic representation of reality—metaphorically, a 1:1 map of the world. 9

Flexibility: Big Data encompasses extensionality (new dimensions can be added by adding new datasets) and scalability (the size of datasets can be expanded rapidly). 10

Virality: This factor measures how quickly data is spread and shared across networks of people (P2P) to each unique node. The time and rate of the spread of information are the determinant factors. 11 Viral diffusion differs from broadcasting in that the former, acting through a network structure, allows its individual nodes to contribute to social cascades, resulting in viral stories and posts. 12

In sum, Big Data promises an information advantage, be it in business intelligence, state intelligence, or any other form of data gathering and analysis. At least in theory, it offers the ability to become omniscient, if not omnipotent—a promise that is tempting to any business, government, or criminal network.",,
